Time,Y,Vy
0.00012,0.62,-0.00117485
0.000264,0.619999,-0.00258303
0.0004368,0.619999,-0.00427262
0.00064416,0.619997,-0.00630004
0.000892992,0.619995,-0.00873288
0.00119159,0.619992,-0.0116523
0.00154991,0.619986,-0.0151555
0.00197989,0.619978,-0.0193595
0.00249587,0.619965,-0.0244041
0.00311504,0.619947,-0.0304577
0.00385805,0.619919,-0.037722
0.00474966,0.619877,-0.0464391
0.00581959,0.619816,-0.0568996
0.00710351,0.619727,-0.0694517
0.00864421,0.619597,-0.0845145
0.0104931,0.619407,-0.10259
0.0127117,0.619131,-0.12428
0.015374,0.618731,-0.150307
0.0185688,0.618151,-0.181541
0.0224026,0.617312,-0.219019
0.0270031,0.616097,-0.263991
0.0325237,0.614342,-0.317957
0.0391484,0.611807,-0.382706
0.0470981,0.608146,-0.460407
0.0566377,0.602865,-0.553641
0.0679959,0.595316,-0.664629
0.0809451,0.585071,-0.791132
0.0940323,0.573046,-0.918888
0.104755,0.562072,-1.02341
0.113443,0.552447,-1.10786
0.120293,0.544588,-1.14724
0.125464,0.538899,-1.10018
0.130731,0.533785,-0.970846
0.136271,0.529043,-0.856098
0.142432,0.524564,-0.726969
0.14934,0.520325,-0.61357
0.157155,0.516499,-0.48965
0.166005,0.513175,-0.37561
0.175945,0.510665,-0.252469
0.18699,0.50932,-0.121741
0.198545,0.509474,0.0132951
0.210716,0.511316,0.151362
0.222852,0.514612,0.271532
0.235045,0.519255,0.380845
0.248571,0.526176,0.511661
0.262666,0.534907,0.619413
0.277349,0.544983,0.686289
0.290394,0.553821,0.677436
0.303149,0.561999,0.641195
0.315442,0.569175,0.583734
0.328709,0.576018,0.515803
0.342763,0.582055,0.429564
0.357759,0.587107,0.336874
0.374051,0.590667,0.218517
0.39227,0.59221,0.0847194
0.412828,0.590719,-0.0725409
0.436353,0.584594,-0.260358
0.46258,0.572224,-0.471655
0.489491,0.554473,-0.65961
0.506936,0.543464,-0.631108
0.518118,0.53835,-0.457263
0.530738,0.534331,-0.318476
0.54522,0.531615,-0.187542
0.561785,0.530721,-0.0539699
0.580732,0.53224,0.0801346
0.602264,0.536707,0.207499
0.626356,0.544438,0.320883
0.648989,0.5518,0.325244
0.669482,0.557625,0.284287
0.692487,0.562865,0.227743
0.718563,0.56692,0.155527
0.748016,0.568368,0.0491512
0.782244,0.56556,-0.0820265
0.822131,0.555088,-0.262554
0.862544,0.543558,-0.285284
0.885892,0.543922,0.0155702
0.912455,0.549276,0.201551
0.941998,0.558353,0.307257
0.956953,0.562197,0.257068
0.972542,0.565262,0.196569
0.990201,0.567246,0.112371
1.01077,0.567354,0.00525471
1.03545,0.564089,-0.132278
1.065074,0.555215,-0.299591
1.0996775,0.540316,-0.430579
1.1204866,0.53648,-0.184338
1.1362836,0.53581,-0.0424015
1.1552399,0.538104,0.121025
1.1779875,0.544778,0.293412
1.2036445,0.55505,0.400351
1.2225858,0.561874,0.36026
1.2406324,0.567443,0.308574
1.26092662,0.572215,0.235161
1.28373813,0.57569,0.152328
1.30953105,0.576772,0.0419617
1.338907018,0.573955,-0.0958972
1.373168209,0.564815,-0.266784
1.4126785425,0.545947,-0.477539
1.4369439206,0.539707,-0.257148
1.4496027068,0.538579,-0.0891646
1.4645331138,0.53965,0.0717321
1.4824496023,0.543957,0.240404
1.50315242808,0.551805,0.379092
1.52155555617,0.559568,0.421819
1.53692981957,0.565988,0.417605
1.553784609827,0.572641,0.394689
1.572564940631,0.579463,0.363288
