Time,Y,Vy
0.0006,0.949998,-0.002943
0.00132,0.949994,-0.00553648
0.002184,0.949987,-0.00872013
0.0032208,0.949974,-0.0124567
0.00446496,0.949953,-0.0168981
0.00595795,0.94992,-0.0221769
0.00774954,0.949868,-0.0285765
0.00989945,0.949791,-0.0361854
0.0124793,0.949673,-0.0454313
0.0155752,0.9495,-0.0561762
0.0192903,0.949246,-0.0683641
0.0237483,0.948875,-0.0830513
0.029098,0.948353,-0.0976873
0.0355176,0.947607,-0.116221
0.0429579,0.946629,-0.131421
0.0512565,0.945414,-0.146343
0.0588304,0.944259,-0.152512
0.065644,0.943154,-0.162211
0.0721836,0.942062,-0.16692
0.0783407,0.941017,-0.169771
0.084327,0.939976,-0.173998
0.0902143,0.938922,-0.178892
0.095947,0.93787,-0.183556
0.101509,0.936825,-0.187901
0.106927,0.935785,-0.191936
0.112219,0.934749,-0.195696
0.117401,0.933719,-0.198855
0.122484,0.932693,-0.201749
0.127487,0.931671,-0.204371
0.132419,0.930651,-0.206785
0.137287,0.929634,-0.209021
0.1421,0.928618,-0.211105
0.146861,0.927604,-0.213003
0.151577,0.92659,-0.214819
0.156256,0.925576,-0.216866
0.160896,0.92456,-0.218892
0.165488,0.923546,-0.22088
0.170032,0.922533,-0.222795
0.17453,0.921523,-0.224613
0.178986,0.920514,-0.226332
0.183402,0.919508,-0.227952
0.187782,0.918503,-0.22948
0.192127,0.917499,-0.230924
0.196441,0.916497,-0.232289
0.200726,0.915496,-0.233583
0.204983,0.914497,-0.234815
0.209214,0.913498,-0.23599
0.213422,0.912501,-0.237116
0.217606,0.911504,-0.238199
0.22177,0.910508,-0.239244
0.225913,0.909512,-0.240255
0.230036,0.908518,-0.241235
0.234141,0.907524,-0.242187
0.238228,0.90653,-0.243115
0.242298,0.905537,-0.24402
0.246352,0.904544,-0.244905
0.25039,0.903551,-0.245769
0.254413,0.902559,-0.246614
0.258421,0.901568,-0.24744
0.262413,0.900577,-0.248241
0.266385,0.899587,-0.249005
0.270338,0.8986,-0.249755
0.274272,0.897615,-0.250476
0.278191,0.896631,-0.2512
0.282095,0.895648,-0.251669
