Time,Z,Vz,ForceN,Overlap
0,1,-9.81e-05,0,0
0.001,0.999995,-0.0099081,0,0
0.002,0.99998,-0.0197181,0,0
0.003,0.999955,-0.0295281,0,0
0.004,0.999921,-0.0393381,0,0
0.005,0.999877,-0.0491481,0,0
0.006,0.999823,-0.0589581,0,0
0.007,0.999759,-0.0687681,0,0
0.008,0.999685,-0.0785781,0,0
0.009,0.999601,-0.0883881,0,0
0.01,0.999508,-0.0981981,0,0
0.011,0.999405,-0.108008,0,0
0.012,0.999292,-0.117818,0,0
0.013,0.999169,-0.127628,0,0
0.014,0.999037,-0.137438,0,0
0.015,0.998894,-0.147248,0,0
0.016,0.998742,-0.157058,0,0
0.017,0.99858,-0.166868,0,0
0.018,0.998408,-0.176678,0,0
0.019,0.998226,-0.186488,0,0
0.02,0.998035,-0.196298,0,0
0.021,0.997834,-0.206108,0,0
0.022,0.997623,-0.215918,0,0
0.023,0.997402,-0.225728,0,0
0.024,0.997171,-0.235538,0,0
0.025,0.996931,-0.245348,0,0
0.026,0.99668,-0.255158,0,0
0.027,0.99642,-0.264968,0,0
0.028,0.99615,-0.274778,0,0
0.029,0.995871,-0.284588,0,0
0.03,0.995581,-0.294398,0,0
0.031,0.995282,-0.304208,0,0
0.032,0.994973,-0.314018,0,0
0.033,0.994654,-0.323828,0,0
0.034,0.994325,-0.333638,0,0
0.035,0.993986,-0.343448,0,0
0.036,0.993638,-0.353258,0,0
0.037,0.99328,-0.363068,0,0
0.038,0.992912,-0.372878,0,0
0.039,0.992534,-0.382688,0,0
0.04,0.992146,-0.392498,0,0
0.041,0.991749,-0.402308,0,0
0.042,0.991341,-0.412118,0,0
0.043,0.990924,-0.421928,0,0
0.044,0.990497,-0.431738,0,0
0.045,0.990061,-0.441548,0,0
0.046,0.989614,-0.451358,0,0
0.047,0.989158,-0.461168,0,0
0.048,0.988692,-0.470978,0,0
0.049,0.988216,-0.480788,0,0
0.05,0.98773,-0.490598,0,0
0.051,0.987235,-0.500408,0,0
0.052,0.986729,-0.510218,0,0
0.053,0.986214,-0.520028,0,0
0.054,0.985689,-0.529838,0,0
0.055,0.985154,-0.539648,0,0
0.056,0.98461,-0.549458,0,0
0.057,0.984055,-0.559268,0,0
0.058,0.983491,-0.569078,0,0
0.059,0.982917,-0.578888,0,0
0.06,0.982333,-0.588698,0,0
0.061,0.98174,-0.598508,0,0
0.062,0.981136,-0.608318,0,0
0.063,0.980523,-0.618128,0,0
0.064,0.9799,-0.627938,0,0
0.065,0.979267,-0.637748,0,0
0.066,0.978624,-0.647558,0,0
0.067,0.977972,-0.657368,0,0
0.068,0.977309,-0.667178,0,0
0.069,0.976637,-0.676988,0,0
0.07,0.975955,-0.686798,0,0
0.071,0.975263,-0.696608,0,0
0.072,0.974562,-0.706418,0,0
0.073,0.973851,-0.716228,0,0
0.074,0.973129,-0.726038,0,0
0.075,0.972398,-0.735848,0,0
0.076,0.971658,-0.745658,0,0
0.077,0.970907,-0.755468,0,0
0.078,0.970147,-0.765278,0,0
0.079,0.969376,-0.775088,0,0
0.08,0.968596,-0.784898,0,0
0.081,0.967806,-0.794708,0,0
0.082,0.967007,-0.804518,0,0
0.083,0.966197,-0.814328,0,0
0.084,0.965378,-0.824138,0,0
0.085,0.964549,-0.833948,0,0
0.086,0.96371,-0.843758,0,0
0.087,0.962861,-0.853568,0,0
0.088,0.962003,-0.863378,0,0
0.089,0.961134,-0.873188,0,0
0.09,0.960256,-0.882998,0,0
0.091,0.959368,-0.892808,0,0
0.092,0.958471,-0.902618,0,0
0.093,0.957563,-0.912428,0,0
0.094,0.956646,-0.922238,0,0
0.095,0.955718,-0.932048,0,0
0.096,0.954781,-0.941858,0,0
0.097,0.953835,-0.951668,0,0
0.098,0.952878,-0.961478,0,0
0.099,0.951912,-0.971288,0,0
0.1,0.950935,-0.981098,0,0
0.101,0.949949,-0.990908,0,0
0.102,0.948953,-1.00072,0,0
0.103,0.947948,-1.01053,0,0
0.104,0.946932,-1.02034,0,0
0.105,0.945907,-1.03015,0,0
0.106,0.944872,-1.03996,0,0
0.107,0.943827,-1.04977,0,0
0.108,0.942772,-1.05958,0,0
0.109,0.941708,-1.06939,0,0
0.11,0.940633,-1.0792,0,0
0.111,0.939549,-1.08901,0,0
0.112,0.938455,-1.09882,0,0
0.113,0.937351,-1.10863,0,0
0.114,0.936238,-1.11844,0,0
0.115,0.935114,-1.12825,0,0
0.116,0.933981,-1.13806,0,0
0.117,0.932838,-1.14787,0,0
0.118,0.931685,-1.15768,0,0
0.119,0.930523,-1.16749,0,0
0.12,0.92935,-1.1773,0,0
0.121,0.928168,-1.18711,0,0
0.122,0.926976,-1.19692,0,0
0.123,0.925774,-1.20673,0,0
0.124,0.924562,-1.21654,0,0
0.125,0.923341,-1.22635,0,0
0.126,0.92211,-1.23616,0,0
0.127,0.920869,-1.24597,0,0
0.128,0.919618,-1.25578,0,0
0.129,0.918357,-1.26559,0,0
0.13,0.917086,-1.2754,0,0
0.131,0.915806,-1.28521,0,0
0.132,0.914516,-1.29502,0,0
0.133,0.913216,-1.30483,0,0
0.134,0.911906,-1.31464,0,0
0.135,0.910587,-1.32445,0,0
0.136,0.909257,-1.33426,0,0
0.137,0.907918,-1.34407,0,0
0.138,0.906569,-1.35388,0,0
0.139,0.90521,-1.36369,0,0
0.14,0.903841,-1.3735,0,0
0.141,0.902463,-1.38331,0,0
0.142,0.901075,-1.39312,0,0
0.143,0.899677,-1.40293,0,0
0.144,0.898269,-1.41274,0,0
0.145,0.896851,-1.42255,0,0
0.146,0.895424,-1.43236,0,0
0.147,0.893986,-1.44217,0,0
0.148,0.892539,-1.45198,0,0
0.149,0.891082,-1.46179,0,0
0.15,0.889615,-1.4716,0,0
