Time,KE,CoordNum,MaxZ,SolidFraction
0,4.81181e-07,0,0.925,0.000540541
0.01,0.00490852,0,0.924495,0.000540836
0.02,0.024252,0,0.924505,0.00108166
0.03,0.0674639,0,0.924524,0.00162246
0.04,0.144072,0,0.924534,0.00216325
0.05,0.263513,0,0.924553,0.00270401
0.06,0.435403,0,0.924553,0.00324481
0.07,0.669365,0,0.924553,0.00378561
0.08,0.975023,0,0.924553,0.00432642
0.09,1.36182,0,0.924571,0.00486712
0.1,1.83937,0,0.924571,0.00540791
0.11,3.30475,0,0.925836,0.00594058
0.12,3.99258,0,0.925911,0.0064801
0.13,8.11977,0,0.929399,0.00699377
0.14,9.05619,0,0.933561,0.00749817
0.15,10.1312,0,0.936741,0.00800648
0.16,15.6826,0,0.938941,0.00852024
0.17,16.8442,0,0.94016,0.00904102
0.18,15.7911,0,0.94281,0.00954593
0.19,16.7754,0,0.94736,0.0100279
0.2,18.6064,0,0.951404,0.0105108
0.21,20.9003,0.0952381,0.955362,0.0109906
0.22,23.432,0,0.961059,0.0114457
0.23,26.1961,0,0.966011,0.0119046
0.24,28.9388,0,0.969982,0.0123714
0.25,31.5994,0,0.972972,0.0128472
0.26,31.4514,0,0.974981,0.0133336
0.27,34.3512,0,0.976009,0.0138318
0.28,39.1937,0,0.976056,0.0143434
0.29,44.7394,0,0.98249,0.0147584
0.3,48.863,0,0.994139,0.0150884
0.31,53.2762,0,1.00481,0.0154258
0.32,58.7621,0,1.01449,0.0157714
0.33,63.6207,0,1.0232,0.0161259
0.34,67.7973,0,1.03092,0.0164901
0.35,73.2695,0,1.03767,0.0168647
0.36,79.217,0,1.04343,0.0172508
0.37,85.4711,0,1.04821,0.0176491
0.38,92.059,0,1.05201,0.0180606
0.39,99.0791,0,1.05483,0.0184863
0.4,106.436,0,1.05667,0.0189273
0.41,114.181,0,1.05753,0.0193848
0.42,121.215,0,1.05741,0.0198599
0.43,124.626,0,1.0563,0.020354
0.44,128.579,0,1.05422,0.0208685
0.45,131.979,0.0444444,1.05115,0.0214051
0.46,125.475,0.0434783,1.04711,0.0219653
0.47,128.126,0,1.04208,0.0225511
0.48,127.837,0.0416667,1.03607,0.0231645
0.49,128.106,0.0408163,1.02908,0.0238077
0.5,132.354,0.04,1.02111,0.0244832
0.51,132.408,0,1.01215,0.0251938
0.52,134.123,0.0384615,1.00222,0.0259424
0.53,137.598,0,0.991307,0.0267324
0.54,140.1,0,0.979412,0.0275676
0.55,124.714,0.109091,0.968742,0.0283873
0.56,130.728,0.0714286,0.961532,0.0291202
0.57,131.112,0.0701754,0.95579,0.0298183
0.58,130.648,0.0344828,0.949067,0.0305563
0.59,132.19,0,0.941363,0.0313375
0.6,134.58,0.0333333,0.932679,0.0321654
0.61,141.763,0.0655738,0.924996,0.0329731
0.62,127.74,0.0967742,0.925106,0.0335097
0.63,132.775,0.0634921,0.930894,0.0338384
0.64,134.845,0.15625,0.935836,0.034194
0.65,135.635,0.123077,0.936865,0.0346902
