Time,KE,CoordNum,MaxZ,SolidFraction
0,4.81181e-07,0,0.925,0.000540541
0.01,0.00490852,0,0.924495,0.000540836
0.02,0.024252,0,0.924505,0.00108166
0.03,0.0674639,0,0.924524,0.00162246
0.04,0.144072,0,0.924534,0.00216325
0.05,0.263513,0,0.924553,0.00270401
0.06,0.435403,0,0.924553,0.00324481
0.07,0.669365,0,0.924553,0.00378561
0.08,0.975023,0,0.924553,0.00432642
0.09,1.36182,0,0.924571,0.00486712
0.1,1.83937,0,0.924571,0.00540791
0.11,3.30475,0,0.925836,0.00594058
0.12,3.99258,0,0.925911,0.0064801
0.13,8.11977,0,0.929399,0.00699377
0.14,9.05619,0,0.933561,0.00749817
0.15,10.1312,0,0.936741,0.00800648
0.16,15.6826,0,0.938941,0.00852024
0.17,16.8442,0,0.94016,0.00904102
0.18,15.7929,0,0.94281,0.00954593
0.19,16.7731,0,0.94736,0.0100279
0.2,18.3684,0,0.951404,0.0105108
0.21,20.7063,0.0952381,0.955362,0.0109906
0.22,23.1442,0,0.961059,0.0114457
0.23,25.8926,0,0.966011,0.0119046
0.24,28.6195,0,0.969982,0.0123714
0.25,31.2644,0,0.972972,0.0128472
0.26,31.1581,0,0.974981,0.0133336
0.27,33.9298,0,0.976009,0.0138318
0.28,38.4889,0,0.976056,0.0143434
0.29,44.0266,0,0.98249,0.0147584
0.3,48.1421,0,0.994139,0.0150884
0.31,52.5473,0,1.00481,0.0154258
0.32,58.0252,0,1.01449,0.0157714
0.33,62.847,0,1.0232,0.0161259
0.34,67.4842,0,1.03092,0.0164901
0.35,72.5982,0,1.03767,0.0168647
0.36,78.5286,0,1.04343,0.0172508
0.37,84.7796,0,1.04821,0.0176491
0.38,91.3644,0,1.05201,0.0180606
0.39,98.3749,0,1.05483,0.0184863
0.4,105.729,0,1.05667,0.0189273
0.41,113.466,0,1.05753,0.0193848
0.42,120.497,0,1.05741,0.0198599
0.43,123.301,0,1.0563,0.020354
0.44,126.285,0,1.05422,0.0208685
0.45,133.575,0.0444444,1.05115,0.0214051
0.46,121.298,0.0869565,1.04711,0.0219653
0.47,123.789,0.0425532,1.04208,0.0225511
0.48,130.981,0,1.03607,0.0231645
0.49,125.673,0.0816327,1.02908,0.0238077
0.5,130.059,0,1.02111,0.0244832
0.51,127.272,0,1.01215,0.0251938
0.52,127.006,0.115385,1.00222,0.0259424
0.53,127.574,0,0.991307,0.0267324
0.54,134.512,0.037037,0.979412,0.0275676
0.55,126.82,0.0727273,0.968742,0.0283873
0.56,130.069,0.0357143,0.961532,0.0291202
0.57,125.492,0.0350877,0.95579,0.0298183
0.58,129.937,0.0689655,0.949067,0.0305563
0.59,120.221,0.0677966,0.941363,0.0313375
0.6,126.663,0.1,0.932679,0.0321654
0.61,128.55,0.0983607,0.924996,0.0329731
0.62,122.094,0.0967742,0.925106,0.0335097
0.63,129.307,0.0634921,0.930894,0.0338384
0.64,130.621,0.1875,0.935836,0.034194
0.65,128.774,0.184615,0.936891,0.0346892
